object_id,global_id,row_id,parent_row_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,market_condition,market_security,materials_buy,materials_buy_refined_cxc9401,materials_buy_refined_newNames,materials_buy_x,materials_buy_y,market_depth,market_depth_other,cash_food_local,no_travel_needs,outside_job,outside_job_yes_where,outside_job_yes_where_x,outside_job_yes_where_y,outside_job_yes_what,outside_job_yes_what_other,paid_locals_same,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp,customer_locations_camp_change,customer_locations_camp_change_why,entrepreneurship_training,training_grow,training_grow_other,finances_care,finances_care_other,business_leave_camp,business_leave_camp_when,business_five_years,leave_camp_support_business,id_problem_fequency,informal_banking_services,key_good_demand_change,Business_Final_21_Feb_creation_date,Business_Final_21_Feb_creator,Business_Final_21_Feb_edit_date,Business_Final_21_Feb_editor,x,y,ObjectID,GlobalID,household_money_supply,household_money_supply_other,household_money_supply_other_traders,goods_repeat_final_21_Feb_creation_date,goods_repeat_final_21_Feb_creator,goods_repeat_final_21_Feb_edit_date,goods_repeat_final_21_Feb_editor
14,8873ee59-0c6a-4a50-98e1-ed9714c9a5e3,e02ad253-6498-4244-b55f-1ba04a22e1b7,e02ad253-6498-4244-b55f-1ba04a22e1b7,mugombwa,1,noemploy,,1,"clothing,other",good,good,Kigali,Kigali,Kigali,30.059444,-1.943889,"house,daily",,no,Out of the camp,yes,Bisha,29.8592,-2.6629,other,To gain more capital,less,five,increased,8/19/2015,no,,districtonly,,yes,He gained more money and more customers.,no,financing,,other,He immediately spends all his money on other materials.,yes,,It will be good,weekly,frequent,nobank,yes,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS,29.85115,-2.67471,14,78a90772-410d-4532-bdb4-6fb21a555083,firewood,,Because every month are given firewood.,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS
15,43aa30e9-e8e9-44c9-bf59-3f18b689848c,9c2b714a-2356-4853-98e5-c9196cf11430,9c2b714a-2356-4853-98e5-c9196cf11430,mugombwa,1,noemploy,,10,grocery,good,good,Out of camp.,outofcamp,OutOfCamp,,,house,,yes,,yes,Bishya,29.8592,-2.6629,other,Odd jobs,less,five,notapplicable,1/4/2017,no,,aroundcamp,This camp,no,,no,financing,,underbed,,yes,,More products.,daily,frequent,nobank,yes,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS,29.85128,-2.67487,15,048af58c-1123-4ad7-b01e-77162c8b50ef,firewood,,"In this camp, they taje firewood. You cant make a business from firewood because you can take it for free.",1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS
16,a24dddea-576e-464a-9296-7d8d2fea9881,2dc4db0f-8a32-4cfc-9e44-8fd37d0613b3,2dc4db0f-8a32-4cfc-9e44-8fd37d0613b3,mugombwa,14,yesother,14,30,grocery,good,good,Out of camp,outofcamp,OutOfCamp,,,daily,,yes,,yes,In Huye,29.7,-2.516667,other,Sells goods,less,five,increased,3/14/2015,yes,3,aroundcamp,In the camp,yes,More products.,no,financing,,mobilemoney,,yes,,The business will grow.,daily,frequent,mobile,yes,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS,29.84976,-2.67497,16,c38f7bea-64f5-4796-93c5-d80be1c5178f,firewood,,Insufficient capital.,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS
17,42fd2f9c-926c-4f63-b8ca-7040d2f26169,35088e35-eb03-4c56-a8e1-8b3e40f191f9,35088e35-eb03-4c56-a8e1-8b3e40f191f9,mugombwa,1,noemploy,,5,"grocery,clothing",good,good,Huye town,Huye,Huye,29.75,-2.6,"daily,house",,no,Another Sector,no,,,,,,,five,increased,########,yes,10,aroundcamp,This Camp,yes,More products have increased.,no,financing,,underbed,,no,,Be more productive.,daily,monthly,nobank,yes,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS,29.84966,-2.67501,17,0f2e1069-a178-4bcc-b5dc-f81a75d4c42d,firewood,,Can't find the market for it.,1/13/2017,cxc9401@rit.edu_RITArcGIS,1/13/2017,cxc9401@rit.edu_RITArcGIS
18,4ca34b96-93e6-4e79-8b91-ab4e055fb016,214fd5c7-be36-4a72-9501-c226f8261e01,214fd5c7-be36-4a72-9501-c226f8261e01,mugombwa,25,yesother,1,5,general,poor,good,Mushya center or kabuga,"MushyaCenter,Kabuga","Mushya,Kabuga","???, 30.229524","???, -1.975726",house,,yes,,no,,,,,,,four,increased,7/29/2016,yes,1,aroundcamp,Oil,yes,More customers,no,financing,,mobilemoney,,yes,,To receiving many money,daily,monthly,mobile,no,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.84989,-2.6738,18,975b4e87-b5ff-444b-a313-7763dd9f8689,firewood,,Insufficiency capitals,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
19,114d8ef3-8714-4971-ab4c-df6b4c8dcd41,7bf5fa08-bc14-480f-92a0-cee8e249be78,7bf5fa08-bc14-480f-92a0-cee8e249be78,mugombwa,40,yesother,1,30,general,poor,good,Butare town,Huye,Huye,29.75,-2.6,house,,yes,,no,,,,,,,three,increased,1/9/2015,no,,aroundcamp,Products,yes,More customers,no,financing,,underbed,,yes,,Grow of products,daily,monthly,nobank,no,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.85061,-2.6735,19,c3224438-0bf2-4102-ac01-fd20099e5edb,firewood,,Insufficient capital,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
20,66c2cf21-769e-4032-98ae-f66651a11c1b,9bbb4e44-94f0-46c8-981f-1c286edc99a8,9bbb4e44-94f0-46c8-981f-1c286edc99a8,mugombwa,2,yesother,1,20,general,poor,good,Bishya center,BishyaCenter,Bishya,,,house,,yes,,no,,,,,,,three,decrease,1/18/2017,yes,1,districtonly,,yes,Want to increaseing the products,no,financing,,underbed,,yes,,Increasing the products,daily,monthly,nobank,no,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.85009,-2.67406,20,a5e2b5cb-8600-42f3-9ad2-d8cd4ff82c60,firewood,,,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
21,06f28aa1-7c77-4f8b-ac9e-95e617db5813,8d7826c1-51db-4290-bf03-89db951a49a7,8d7826c1-51db-4290-bf03-89db951a49a7,mugombwa,2,yesother,2,65,cell,poor,good,Butare town,Huye,Huye,29.75,-2.6,house,,yes,,no,,,,,,,four,increased,1/19/2017,yes,1,aroundcamp,To buy fire,yes,Increasing of customer s,no,financing,,mobilemoney,,yes,,Grow of products,daily,monthly,mobile,yes,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.85135,-2.67489,21,da6102f1-895d-40d4-ac2e-48dd3585293a,firewood,,Insufficient capital,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
21,06f28aa1-7c77-4f8b-ac9e-95e617db5813,8d7826c1-51db-4290-bf03-89db951a49a7,8d7826c1-51db-4290-bf03-89db951a49a7,mugombwa,2,yesother,2,65,cell,poor,good,Butare town,,,,,house,,yes,,no,,,,,,,four,increased,1/19/2017,yes,1,aroundcamp,To buy fire,yes,Increasing of customer s,no,financing,,mobilemoney,,yes,,Grow of products,daily,monthly,mobile,yes,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.85135,-2.67489,22,3f02f6c4-1882-4282-b04b-e7e887a1710b,firewood,,Insufficient funds,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
22,9fcb37d2-3006-4ef5-92c5-263ca470aaf5,679aff62-6989-4a67-9a7b-a8b3ef1eacc9,679aff62-6989-4a67-9a7b-a8b3ef1eacc9,mugombwa,6,yesother,6,60,business,poor,good,In kabuga,Kabuga,Kabuga,30.229524,-1.975726,house,,yes,,no,,,,,,,two,increased,1/19/2017,no,,districtonly,,yes,Increasing of product,no,financing,,other,Saco,yes,,Grow of product,daily,monthly,saco,yes,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.85056,-2.67475,23,ba4d4533-6a97-4954-be79-adde4d2f64c3,firewood,,Insufficient capital,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
23,d21cd907-6519-44e9-bf5a-46284afd095f,a8d3ecdd-a0cb-4594-aa67-9a20ebb82124,a8d3ecdd-a0cb-4594-aa67-9a20ebb82124,mugombwa,1,noemploy,,10,restaurant,poor,good,In huye town,Huye,Huye,29.75,-2.6,house,,yes,,no,,,,,,,three,increased,12/2/2016,yes,2,districtonly,,no,,yes,financing,,mobilemoney,,yes,,Increasing of product,daily,monthly,mobile,yes,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.84972,-2.67491,24,03a352c4-fc19-4d20-a1bd-4df4e5addd6c,phones,,,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
23,d21cd907-6519-44e9-bf5a-46284afd095f,a8d3ecdd-a0cb-4594-aa67-9a20ebb82124,a8d3ecdd-a0cb-4594-aa67-9a20ebb82124,mugombwa,1,noemploy,,10,restaurant,poor,good,In huye town,,,,,house,,yes,,no,,,,,,,three,increased,12/2/2016,yes,2,districtonly,,no,,yes,financing,,mobilemoney,,yes,,Increasing of product,daily,monthly,mobile,yes,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS,29.84972,-2.67491,25,5068cead-6f6b-4f8e-b805-7b4a9c7817fe,firewood,,Insuficient capital,1/16/2017,ndt3511@rit.edu_RITArcGIS,1/16/2017,ndt3511@rit.edu_RITArcGIS
24,b051d2fc-c715-4086-9406-438e5747117c,5c58bf07-5ee5-41a3-9b5b-6a1878307eb1,,kigeme,1,noemploy,,5,grocery,good,good,Kigeme Town,KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,three,increased,4/14/2014,,,aroundcamp,All around,no,,no,training,,underbed,,yes,,To have development,daily,weekly,nobank,no,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52258,-2.48666,,,,,,,,,
25,2e85aae7-2348-44a5-a638-7d4610c25012,f741c944-6bfd-405e-ad3d-d53b640519f3,,kigeme,4,yesother,3,30,"clothing,other",good,good,Nyamagabe,Nyamagabe,Nyamagabe,29.466667,-2.4,nosell,,yes,,no,,,,,,,five,decrease,########,,,aroundcamp,Around the business,yes,Change to cash.,yes,financing,,mobilemoney,,yes,,To look for a new job.,weekly,monthly,mobile,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52466,-2.48839,,,,,,,,,
26,b6d48bc2-2861-4dc3-aefa-7e6e220046ae,3cae8a85-43d8-42b0-890b-c21f4b140226,,kigeme,12,yesfamily,11,30,general,good,good,Nyamagabe and Gasarenda,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,two,increased,3/6/2013,,,aroundcamp,Around the business.,yes,Because of opportunity.,no,training,,mobilemoney,,yes,,To have a development.,daily,daily,mobile,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52461,-2.48841,,,,,,,,,
27,e3fa5ed3-2592-4cbc-9bb0-2ada33594876,6e421bed-f39b-464b-987a-63414ace617d,,kigeme,2,yesfamily,1,60,"clothing,grocery,general",good,good,Gasarenda,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,three,decrease,8/19/2013,,,aroundcamp,Around the business,no,,no,financing,,underbed,,no,,Stronger business.,daily,monthly,nobank,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52454,-2.48828,,,,,,,,,
28,dd324b69-e65f-4002-9df9-62a6701c589d,62cb483e-58b0-4c23-bbfa-7dddabc6193f,,kigeme,1,noemploy,,35,"other,restaurant",good,good,Kigeme Town (Out of camp),KigemeTown,Kigeme,29.527007,-2.484313,house,,yes,,no,,,,,,,two,increased,5/9/2016,,,aroundcamp,Around the business.,yes,They ask also. Others ask. Word of mouth.,no,training,,mobilemoney,,no,,Make it strong. Stronger business.,daily,monthly,mobile,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52455,-2.48824,,,,,,,,,
29,1f707bc7-2179-4af1-b847-21532a97acd3,9d83238d-c943-463c-9a70-aeb786bb9e69,,kigeme,2,yesfamily,1,100,"grocery,general",good,damaged,Gasarenda,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,five,decrease,7/26/2014,,,aroundcamp,Around the business,yes,Currency change. Change to cash.,yes,financing,,remittances,,yes,,Make business strong.,weekly,daily,saco,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52477,-2.48808,,,,,,,,,
30,a235ecde-98bd-40e6-90bb-33157c2654fe,88a4c837-2824-4120-8dc2-597012ccdccf,,kigeme,2,yesfamily,1,50,general,good,good,Nyamagabe and Gasarenda,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,three,increased,1/24/2016,,,aroundcamp,Around the business,yes,Currents. Note. Currency.,no,financing,,remittances,,yes,,To get out of the camp. Leave the compound.,weekly,monthly,saco,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52423,-2.48834,,,,,,,,,
31,fadcf0df-57e4-4d5d-92f1-a97486ac0972,605bb7a3-0ae0-4546-8b50-dd53a38f39a9,,kigeme,1,noemploy,,40,grocery,good,good,Gasarenda,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,two,increased,########,,,aroundcamp,Aroind the business,yes,Currents,yes,training,,remittances,,yes,,Make the business strong.,weekly,monthly,saco,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52368,-2.48657,,,,,,,,,
32,7f57f735-7d54-4eb0-b49a-bb4f82c24d38,a87fa0dc-ea87-4a1b-ad71-e29cf620815b,,kigeme,1,noemploy,,30,grocery,poor,good,Gasarenda,Gasarenda,Gasarenda,29.481358,-2.503111,house,,yes,,no,,,,,,,two,increased,1/5/2017,,,aroundcamp,Around here,no,,yes,other,Nothing. She did it for herself.,remittances,,yes,,To have enough money.,weekly,monthly,nobank,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.52338,-2.4857,,,,,,,,,
33,764ca0f4-5d86-436c-8137-4282464ce6e8,9514dd93-f4dc-486b-bcbf-e08ce448d4ee,,kigeme,1,noemploy,,25,grocery,damaged,good,Kizi and Karambi,"Kizi,Karambi","Kizi,Karambi","29.583408, 29.229167","-2.51671, -2.339167",house,,yes,,no,,,,,,,zero,decrease,########,,,aroundcamp,The neighbors,yes,Currents,no,other,Began her own training,underbed,,yes,,Very important because she didnt beg. She didnt beg. She fought to survive.,frequent,monthly,nobank,yes,1/17/2017,cxc9401@rit.edu_RITArcGIS,1/17/2017,cxc9401@rit.edu_RITArcGIS,29.5232,-2.48497,,,,,,,,,
34,5d8a4653-8405-4f32-b67e-2ac5df5f06a5,91bc6e11-eb5f-4411-8ac8-776520d6b946,91bc6e11-eb5f-4411-8ac8-776520d6b946,kigeme,2,yesfamily,2,30,"general,grocery",good,good,Gasarenda and nyamagabe,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481356","-2.4, -2.503109",house,,yes,,no,,,,,,,five,increased,1/16/2016,,,aroundcamp,everywhere,yes,Started making profit,yes,"financing,training",,mobilemoney,,yes,,"Would like to expand business, if funds are available",weekly,frequent,"saco,mobile",yes,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52234,-2.48898,26,3e03d210-a89d-4b0e-974b-119e08204c69,,,Suppliers lack funds to supply goods,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS
35,402219ab-5669-4108-892c-bbdadfddef9b,5209c212-bf00-44ad-a317-278285da9351,5209c212-bf00-44ad-a317-278285da9351,kigeme,12,yesother,12,30,"general,grocery",good,good,Gasarenda or nyamagabe,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481357","-2.4, -2.503110",house,,yes,,no,,,,,,,five,increased,########,,,aroundcamp,Everywhere,no,,yes,"financing,training",,other,Commercial bank,yes,,"If they find funds, their business will grow",weekly,frequent,saco,no,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52442,-2.48847,27,4b975c05-2fac-4801-94ad-7c1b4c26a624,,,Suppliers lack funds to purchase goods,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS
36,4b54517f-3e9e-4eb3-a086-e30dd19767b2,64eb4a5d-dc62-4467-8734-a65d4dcb4d6d,64eb4a5d-dc62-4467-8734-a65d4dcb4d6d,kigeme,1,yesfamily,3,40,"general,grocery",good,good,Nyamagabe or gasarenda,"Nyamagabe,Gasarenda","Nyamagabe,Gasarenda","29.466667, 29.481358","-2.4, -2.503111",house,,yes,,no,,,,,,,five,increased,5/13/2012,,,aroundcamp,Everywhere,yes,Have more money for food,no,"training,financing",,other,Buy more products for sale,yes,,"With more funds, buy more prodcuts for sale",weekly,frequent,nobank,yes,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS,29.52437,-2.48846,28,836514a2-18f3-4c9a-89cd-c4434200be0d,,,Not enough money for suppliers to buy goods,1/17/2017,kdm1629@rit.edu_RITArcGIS,1/17/2017,kdm1629@rit.edu_RITArcGIS
