object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,market_condition,market_security,materials_buy,materials_buy_refined_cxc9401,market_depth,cash_food_local,no_travel_needs,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp,customer_locations_camp_change,customer_locations_camp_change_why,entrepreneurship_training,training_grow,training_grow_other,finances_care,finances_care_other,business_leave_camp,business_five_years,leave_camp_support_business,id_problem_fequency,informal_banking_services,key_good_demand_change,x,y,household_money_supply,household_money_supply_other,household_money_supply_other_traders
38,kigeme,40,yesfamily,40,20,clothing,good,poor,Nyamagabe,Nyamagabe,house,yes,,no,five,increased,########,,,aroundcamp,Camp and host community,yes,Many things/ their family is living better beacuse of their business,no,financing/training,,mobilemoney,,yes,If get more money/ business will be secure,daily,monthly,saco,yes,29.52462,-2.48756,,,
39,kigeme,1,yesother,3,8,clothing,good,good,Cyanngugu,Cyangugu,other,yes,,no,four,increased,1/19/2015,,,aroundcamp,Everywhere/ even outside camp,yes,More business/ if more money can make new buissnes,yes,training,,mobilemoney,,yes,Buissnes will have grown,monthly,frequent,mobile,yes,29.52456,-2.4883,,,suppliers lack funds to purchase supplies
40,kigeme,0,noemploy,,28,grocery,good,poor,Butare,Huye,daily,yes,,no,five,remain,########,,,aroundcamp,From camp only,yes,only existed for two months,no,other,Mvisa,other,Spend it,yes,Hopefully have enough money to build bigger business,monthly,monthly,nobank,no,29.52339,-2.48542,,,
41,kigeme,0,noemploy,,80,grocery/general,good,good,Gasarenda and nyamagabe,Nyamagabe/Gasarenda,daily,yes,,no,five,increased,1/18/2015,,,aroundcamp,Everywhere,yes,More produce available,yes,training,,mobilemoney,,yes,more products available for sale,weekly,monthly,mobile,yes,29.52432,-2.48463,,,Not enough funds
42,kigeme,1,noemploy,,5,other,good,good,kigeme.,KigemeTown,house,yes,,no,five,remain,7/6/2012,,,aroundcamp,kigeme.,no,,no,training,,remittances,,yes,it will be the same.,daily,frequent,nobank,no,29.51321,-2.49164,,,low capital/ sorghum business.
43,kigeme,1,noemploy,,6,other,good,good,kigeme.,KigemeTown,house,yes,,no,four,increased,7/31/2013,,,aroundcamp,kigeme.,yes,because there is increasing of price.,no,financing,,mobilemoney,,yes,it will have a good image.,weekly,frequent,mobile,yes,29.50487,-2.49749,,,low capital. sorgum beer business
44,kigeme,1,yeshost,3,7,business,good,good,nyamagabe/ inzega and gasarenda.,Nyamagabe/Inzega/Gasarenda.,house,yes,,no,five,increased,########,,,aroundcamp,kigeme.,yes,because they increase day to day.,yes,financing,,mobilemoney,,yes,it will have a good image.,monthly,monthly,commbank,yes,29.51321,-2.49164,,,low capital
45,kigeme,1,noemploy,,10,business,good,good,kizi / karambi and gasarenda,Kizi/Karambi/Gasarenda,house,yes,,no,five,increased,7/6/2016,,,aroundcamp,kigeme,yes,yeah! because of increasing of hungry,yes,financing,,mobilemoney,,yes,it will have a good image,monthly,monthly,mobile,yes,29.51321,-2.49164,,,low capital
46,kigeme,1,noemploy,,8,clothing/other,damaged,good,Nyamagabe and Gasarenda,Nyamagabe/Gasarenda,nosell,yes,,no,one,decrease,2/16/2013,,,districtonly,,yes,Loss of money,no,training,,underbed,,yes,A good life,monthly,daily,nobank,yes,29.5232,-2.48271,,,
47,kigeme,2,yesfamily,1,10,other/clothing,good,good,Kigeme Town and Nyamagabe.,KigemeTown/Nyamagabe.,nosell,yes,,no,one,decrease,2/21/2015,,,aroundcamp,Quarter 8,yes,the loss of materials,no,other,A computer scientist.,mobilemoney,,yes,To have 2 million Rwf,weekly,monthly,mobile,yes,29.52344,-2.48325,,,
48,kigeme,3,yesfamily,2,15,other/restaurant,damaged,good,Gasarenda,Gasarenda,house,yes,,no,three,decrease,########,,,aroundcamp,This quarter,yes,The price of goods are expensive.,no,training,,underbed/other,Commercial bank,yes,To make the work stronger. To be outside the camp. The development of this business will spread outside the camp.,weekly,daily,commbank,yes,29.52176,-2.48307,,,
49,kigeme,2,yesfamily,1,5,other/clothing,damaged,damaged,Nyamagabe and Gasarenda,Nyamagabe/Gasarenda,nosell,yes,,no,two,decrease,6/26/2012,,,aroundcamp,Around the business.,yes,The change to cash.,yes,training,,mobilemoney,,yes,To have a development. Have a bigger business. Be more developed.,weekly,monthly,mobile,yes,29.52104,-2.48286,,,
50,kigeme,1,noemploy,,20,grocery,good,good,Gasarenda and Nyamagabe,Nyamagabe/Gasarenda,house,yes,,no,one,decrease,8/6/2015,,,aroundcamp,Around the business.,yes,Because of a loan.,yes,training,,other,Bank,yes,To find a new job.,daily,daily,saco,yes,29.52105,-2.48267,,,
51,kigeme,5,yesother,4,5,other,good,good,Kigali and Gisenyi,Kigali/Gisenyi,house,yes,,no,one,decrease,8/4/2015,,,aroundcamp,Around the business.,yes,Opportunity,no,financing,,underbed,,no,To have a development.,monthly,daily,nobank,yes,29.52142,-2.48211,,,
52,kigeme,4,yesfamily,3,8,grocery,good,good,Kigeme Town,KigemeTown,house,yes,,no,four,decrease,4/20/2014,,,aroundcamp,Around here,yes,Because of the opportunity.,no,training,,other,Formal bank,yes,To have a good life.,daily,monthly,saco,yes,29.5212,-2.48207,,,
53,kigeme,1,noemploy,,50,general,poor,good,Gasarenda,Gasarenda,house,yes,,no,one,increased,2/27/2016,,,districtonly,,yes,He was working outside/ but now he has a house that he works in.,no,training,,other,Corporate bank,yes,To make it stronger.,weekly,weekly,commbank,yes,29.52196,-2.48223,,,
54,kigeme,1,noemploy,,20,restaurant,good,good,Kigeme center,KigemeTown,house,yes,,no,five,increased,########,,,aroundcamp,Everywhere,no,,yes,financing,,mobilemoney,,yes,If she gets funds/ can be biggest business (bar),daily,frequent,mobile/microloan,yes,29.52372,-2.48303,,,Suppliers lack funds to supply goods
55,kigeme,1,noemploy,,3,clothing,poor,good,Gasarenda,Gasarenda,house,yes,,no,four,increased,10/6/2014,,,aroundcamp,Q7v4,no,,no,financing/training,,mobilemoney,,yes,If get funds I will reach to every thing,weekly,frequent,microloan/mobile,yes,29.5238,-2.48308,,,Not enough money
56,kigeme,1,noemploy,,17,general,good,good,Nyamagabe or gasarenda,Nyamagabe/Gasarenda,house,yes,,no,five,increased,########,,,aroundcamp,Everywhere,yes,,no,financing,,mobilemoney,,yes,She will buy more goods/ if she has the funds,monthly,frequent,microloan/mobile,yes,29.52341,-2.48243,,,Not enough funds to purchase goods
57,kigeme,1,noemploy,,13,restaurant,good,good,Kigeme,KigemeTown,house,yes,,no,five,increased,8/12/2014,,,aroundcamp,Everywhere,yes,More profit,no,financing/training,,other,Purchase clothes/ household items,yes,if find funds/ she will buy many things,daily,frequent,nobank,yes,29.52316,-2.482,,,Not enough money to buy goods
58,kigeme,1,noemploy,,0,other,poor,poor,Nyamagabe and ryarubondo,Nyamagabe/Ryarubondo,house,yes,,no,zero,increased,6/12/2016,,,districtonly,,yes,No credit,no,training/financing,,mobilemoney,,yes,If she gets funds/ she can get whatever she wants,weekly,frequent,microloan/mobile,no,29.52338,-2.48232,,,
59,kigeme,1,noemploy,,5,hair,poor,good,No where/she use a cesor,Nowhere,daily,yes,,no,two,increased,4/11/2012,,,aroundcamp,In camp,yes,Because they got some money,no,training/financing,,other,What iget i use it as well as i have many consomers,yes,If they get funds/ they will try many things,frequent,frequent,nobank,yes,29.52347,-2.48241,,,
60,kigeme,10,yesfamily,10,15,grocery/restaurant/general,good,good,Kigeme,KigemeTown,daily,yes,,no,two,notapplicable,12/6/2016,,,aroundcamp,Everywhere,no,,yes,financing,,other,Saco,yes,Increased business,daily,monthly,saco,no,29.52368,-2.48337,,,
61,kigeme,1,noemploy,,8,grocery,good,good,Kigeme,KigemeTown,house,yes,,no,three,remain,3/1/2015,,,aroundcamp,Everywhere in camp/ sometimes even from outside the camp,no,,no,financing/training,,mobilemoney/underbed,,yes,Increased business/ if he gets financing and training,weekly,daily,mobile,yes,29.52376,-2.4835,,,
62,kigeme,1,noemploy,,10,woodcharcoal,good,good,Gakoma,Gakoma,daily,yes,,no,four,decrease,2/2/2015,,,aroundcamp,Only from this camp (kigeme),yes,more profits this past month/ bc money was distributed instead of food,no,financing/training,,mobilemoney,,yes,Increase,daily,monthly,mobile,yes,29.52392,-2.48361,,,
63,kigeme,2,noemploy,,30,craft,good,good,cyangugu market,Cyangugu,house,yes,,no,three,increased,6/13/2012,,,aroundcamp,inside the camp,yes,yes because the customers especially increased in business,yes,financing,,other,saco bank,yes,my vision about my business is expanding even outside the camp,monthly,monthly,saco,yes,29.52264,-2.48252,,,
64,kigeme,1,noemploy,,10,craft,average,good,gasalenda/huye market,Gasarenda/Huye,house,yes,,no,five,remain,########,,,aroundcamp,inside the camp,no,,no,financing,,other,tigo cash,yes,I expect to expanding my business,monthly,monthly,nobank,yes,29.52275,-2.48232,,,
65,kigeme,1,noemploy,,50,craft,average,good,Gasalenda/Nyamagabe market,Nyamagabe/Gasarenda,house,yes,,no,five,increased,4/23/2013,,,aroundcamp,it comes inside the camp,yes,ues because the increase of money was on high level,no,training,,other,Saco bank,yes,I predict to work even outof the camp,monthly,monthly,saco,yes,29.52228,-2.48234,,,
66,kigeme,2,yesfamily,2,150,craft,good,good,gasalenda/huye market,Gasarenda/Huye,house,yes,,no,five,increased,########,,,aroundcamp,is coming inside the camp,yes,yes because the moneyw was increased in the last12 months,yes,financing,,other,Equity bank/I&M bank,yes,Iexpect to expand my business even outside the camp,monthly,monthly,saco,yes,29.52266,-2.48255,,,
67,kigeme,1,noemploy,,100,craft,poor,good,gasalenda/nyamagabe market,Nyamagabe/Gasarenda,house,yes,,no,five,increased,5/14/2014,,,aroundcamp,there are coming inside the camp,yes,yes because of I see many customers,yes,financing,,other,tigo cash,yes,I expect to expanding my business,monthly,monthly,saco,yes,29.52262,-2.48867,,,
68,kigeme,1,yesfamily,1,50,craft,poor,good,gasalenda/nyamagabe/ huye market,Gasarenda/Nyamagabe/Huye,house,yes,,no,five,increased,1/26/2014,,,aroundcamp,inside the camp,yes,when we did mais the customers were so many than today,no,training,,underbed,,yes,I expect to be the business man out of the camp,monthly,monthly,saco,yes,29.52246,-2.48877,,,
69,kigeme,1,noemploy,,8,craft,average,good,gasalenda market,Gasarenda,house,yes,,no,five,remain,4/3/2016,,,aroundcamp,only inside the camp,no,,no,financing,,mobilemoney,,yes,after five years i predict toexpand my business in order to give to others peoples the services,monthly,monthly,saco,yes,29.52459,-2.4881,,,
70,kigeme,1,noemploy,,5,craft,average,good,gasalenda market,Gasarenda,house,yes,,no,five,decrease,9/21/2016,,,aroundcamp,inside the camp,yes,because of the competitors they are so many,no,financing,,underbed,,yes,expand my business like others,monthly,monthly,nobank,yes,29.52297,-2.48561,,,
71,kigeme,1,noemploy,,20,craft,good,good,nyamagabe market,Nyamagabe,house,yes,,no,five,increased,7/7/2015,,,aroundcamp,inside the camp,yes,yes because the increase was on high,yes,financing,,other,saco bank,yes,in the five years if I found money rather than one ihave today my business it will be increased,monthly,monthly,saco,yes,29.52258,-2.48697,,,
72,kigeme,1,noemploy,,30,craft,poor,good,gasalenda market/ kigeme center,Gasarenda/KigemeTown,house,yes,,no,five,increased,2/14/2014,,,aroundcamp,the customers are coming inside the camp,yes,yes because the money was increased,yes,financing,,other,tigo cash,yes,my business in five years it will be on high level,monthly,monthly,saco,yes,29.52402,-2.48697,,,
73,kigeme,1,noemploy,,30,craft,good,good,nyamagabe /gasalenda,Nyamagabe/Gasarenda,house,yes,,no,five,increased,6/30/2012,,,aroundcamp,inside the camp,yes,when we have got money thecost is at the high level,yes,financing,,other,saco bank,no,the business will be increased than today,monthly,monthly,saco,yes,29.52347,-2.48527,,,
74,mugombwa,1,noemploy,,20,restaurant,poor,good,at bishya centre,BishyaCenter,house,yes,,no,five,increased,1/13/2016,no,,aroundcamp,from bishya centre,yes,customers increased,no,financing,,mobilemoney,,no,it will grow.,daily,monthly,mobile,yes,29.85158,-2.67458,firewood,,insufficient capital and lack of forests
74,mugombwa,1,noemploy,,20,restaurant,poor,good,at bishya centre,,house,yes,,no,five,increased,1/13/2016,no,,aroundcamp,from bishya centre,yes,customers increased,no,financing,,mobilemoney,,no,it will grow.,daily,monthly,mobile,yes,29.85158,-2.67458,phones,,
75,mugombwa,2,yesfamily,2,25,cell/hair,poor,good,huye district,Huye,house,yes,,yes,five,increased,5/1/2014,yes,1,aroundcamp,they come from bishya centre,yes,increasing of customers,yes,financing,,mobilemoney,,yes,it will grow.,monthly,monthly,mobile,yes,29.8512,-2.67477,firewood,,lack of forests.
76,mugombwa,2,noemploy,,20,hair,poor,good,huye district,Huye,house,yes,,no,three,increased,2/6/2015,no,,aroundcamp,they come from bishya centre,yes,customers increase,yes,financing,,other,saco,no,it will grow,monthly,monthly,saco,yes,29.85122,-2.67483,firewood,,lack of forests
77,mugombwa,1,noemploy,,20,general,poor,good,huye district,Huye,house,yes,,no,five,increased,1/16/2017,yes,2,aroundcamp,they come bishya village,yes,many customers,no,financing,,other,cooperatives,no,it will be developed,weekly,monthly,mobile,yes,29.84967,-2.67494,firewood,,insufficient capital
77,mugombwa,1,noemploy,,20,general,poor,good,huye district,,house,yes,,no,five,increased,1/16/2017,yes,2,aroundcamp,they come bishya village,yes,many customers,no,financing,,other,cooperatives,no,it will be developed,weekly,monthly,mobile,yes,29.84967,-2.67494,phones,,
78,mugombwa,12,noemploy,,20,general,poor,good,mubishya (mugomwa),Mubishya,house,yes,,no,zero,increased,12/8/2016,no,,districtonly,,yes,customers increased,yes,training,,other,saco,yes,it will grow,daily,monthly,saco,yes,29.84996,-2.67515,firewood,,insufficient capital
78,mugombwa,12,noemploy,,20,general,poor,good,mubishya (mugomwa),,house,yes,,no,zero,increased,12/8/2016,no,,districtonly,,yes,customers increased,yes,training,,other,saco,yes,it will grow,daily,monthly,saco,yes,29.84996,-2.67515,phones,,
78,mugombwa,12,noemploy,,20,general,poor,good,mubishya (mugomwa),,house,yes,,no,zero,increased,12/8/2016,no,,districtonly,,yes,customers increased,yes,training,,other,saco,yes,it will grow,daily,monthly,saco,yes,29.84996,-2.67515,beans,,
78,mugombwa,12,noemploy,,20,general,poor,good,mubishya (mugomwa),,house,yes,,no,zero,increased,12/8/2016,no,,districtonly,,yes,customers increased,yes,training,,other,saco,yes,it will grow,daily,monthly,saco,yes,29.84996,-2.67515,phones,,
78,mugombwa,12,noemploy,,20,general,poor,good,mubishya (mugomwa),,house,yes,,no,zero,increased,12/8/2016,no,,districtonly,,yes,customers increased,yes,training,,other,saco,yes,it will grow,daily,monthly,saco,yes,29.84996,-2.67515,airtime,,
79,kigeme,1,noemploy,,35,other/restaurant,average,good,gasarenda,Gasarenda,house,yes,,yes,five,increased,1/12/2016,,,aroundcamp,out of the camp and inside,yes,due to the prices of market,no,financing,,mobilemoney,,yes,I wish imaybe tradinxg in big market,daily,daily,mobile,yes,29.52437,-2.48413,,,lack of money
80,kigeme,1,noemploy,,10,restaurant,good,good,they bring them,Nowhere,house,yes,,no,five,decrease,1/1/2017,,,aroundcamp,un hcr staff,yes,there was no enough mone for the crients,yes,financing,,other,sacco,yes,very strong to the piont of five m,monthly,monthly,saco,yes,29.52358,-2.48614,,,
81,kigeme,2,noemploy,,30,general,poor,average,gasarenda,Gasarenda,house,yes,,no,five,decrease,1/12/2014,,,aroundcamp,from different dirrections,yes,we truste our customers and disappear,no,financing,,other,in small groups,no,it will have failed,weekly,weekly,microloan,yes,29.52464,-2.48832,,,insficieny of money
82,kigeme,2,noemploy,,20,general,average,average,huye,Huye,daily,yes,,no,five,decrease,8/22/2016,,,aroundcamp,in this village,yes,there was price increased,yes,financing,,underbed,,no,it will be very big,daily,frequent,nobank,yes,29.5245,-2.48826,,,litle money
83,kigeme,0,yesfamily,2,35,general,average,good,huye,Huye,house,yes,,no,five,decrease,1/18/2017,,,aroundcamp,q2,no,,yes,financing,,mobilemoney,,yes,strong,daily,daily,microloan,no,29.5235,-2.48564,,,money
84,kigeme,1,noemploy,,15,general,average,average,Gasarenda,Gasarenda,daily,yes,,no,five,increased,########,,,aroundcamp,All around,yes,Ddue to the lack of capital,no,financing,,mobilemoney,,yes,It will depend on capital/ if he recieves the capital it will grow,weekly,monthly,mobile,yes,29.52242,-2.48311,,,It depends on what he has bought
85,kigeme,2,yesfamily,0,20,general,average,average,NyaMgabe gasarenda,Nyamagabe/Gasarenda,house,yes,,no,five,decrease,7/31/2013,,,aroundcamp,All around,yes,due to the crisis of money,yes,financing/training,,other,Groups the origsnize money via donations,yes,They will have worked their business to the top,weekly,monthly,nobank,yes,29.52252,-2.4826,,,Due to the money crisis
86,kigeme,1,noemploy,,40,grocery,average,average,Cyizi and nyamagabe,Cyizi/Nyamagabe,daily,no,Because they are give little money,no,five,remain,5/14/2014,,,districtonly,,no,,no,financing,,other,The consume the profits,no,Could stay coukd disappear,weekly,monthly,nobank,no,29.52266,-2.48257,,,
87,kigeme,2,yesfamily,0,20,general,average,average,Gisagara,Gisa,house,yes,,no,three,increased,3/31/2013,,,aroundcamp,Come mostly for trading,yes,Because of differnt types of trading,yes,financing,,other,Put tge money back into the business,yes,If she get more capital she will be able to expand,weekly,monthly,nobank,yes,29.52302,-2.48281,,,Prices increase/ but local community is struggling to afford to buy stuff
